k,assignments_select,comparisons_select,operations_select,assignments_bubble,comparisons_bubble,operations_bubble,assignments_binInsertion,comparisons_binInsertion,operations_binInsertion
4500,13497,10122750,10136247,92622,8181315,8273937,5020550,138341,5158891
4600,13797,10577700,10591497,97341,8481572,8578913,5316550,141882,5458432
4700,14097,11042650,11056747,102117,8460522,8562639,5534364,145252,5679616
4800,14397,11517600,11531997,102237,11203572,11305809,5754244,148733,5902977
4900,14697,12002550,12017247,111507,12000339,12111846,6034309,152442,6186751
5000,14997,12497500,12512497,112080,11936230,12048310,6257733,155842,6413575
5100,15297,13002450,13017747,107007,8985255,9092262,6519227,159368,6678595
5200,15597,13517400,13532997,128562,13502694,13631256,6776146,163065,6939211
5300,15897,14042350,14058247,127272,13149234,13276506,7035243,166669,7201912
5400,16197,14577300,14593497,109206,10653099,10762305,7229686,170171,7399857
5500,16497,15122250,15138747,117474,11808225,11925699,7586755,173760,7760515
5600,16797,15677200,15693997,125658,15662494,15788152,7871748,177466,8049214
5700,17097,16242150,16259247,128304,16217174,16345478,8079213,181127,8260340
5800,17397,16817100,16834497,127122,16718754,16845876,8506664,184647,8691311
5900,17697,17402050,17419747,128520,13804147,13932667,8742847,188500,8931347
6000,17997,17997000,18014997,147672,17839920,17987592,9103273,192092,9295365
6100,18297,18601950,18620247,129201,13412919,13542120,9267562,195738,9463300
6200,18597,19216900,19235497,134190,16449772,16583962,9680280,199519,9879799
6300,18897,19841850,19860747,132378,17302719,17435097,9896626,203201,10099827
6400,19197,20476800,20495997,135543,18578474,18714017,10256934,207129,10464063
6500,19497,21121750,21141247,142686,13735504,13878190,10537931,210679,10748610
6600,19797,21776700,21796497,136752,12120885,12257637,10918595,214262,11132857
6700,20097,22441650,22461747,141288,19740000,19881288,11271827,218004,11489831
6800,20397,23116600,23136997,145578,17943664,18089242,11570534,221725,11792259
6900,20697,23801550,23822247,175302,23391585,23566887,11941886,225338,12167224
7000,20997,24496500,24517497,161928,20603055,20764983,12243323,229116,12472439
7100,21297,25201450,25222747,144645,18694422,18839067,12591928,232852,12824780
7200,21597,25916400,25937997,133779,17348670,17482449,12887794,236474,13124268
7300,21897,26641350,26663247,164793,25038405,25203198,13331593,240192,13571785
7400,22197,27376300,27398497,171954,25805422,25977376,13769275,243859,14013134
7500,22497,28121250,28143747,168690,24739950,24908640,14069541,247658,14317199
7600,22797,28876200,28898997,206943,28862004,29068947,14441993,251316,14693309
7700,23097,29641150,29664247,188427,20385397,20573824,14783341,254863,15038204
7800,23397,30416100,30439497,186159,29122464,29308623,15186791,258749,15445540
7900,23697,31201050,31224747,199176,31194029,31393205,15560147,262290,15822437
8000,23997,31996000,32019997,161238,28424872,28586110,15918930,266260,16185190
8100,24297,32800950,32825247,184839,27563484,27748323,16347850,269855,16617705
8200,24597,33615900,33640497,164748,28352510,28517258,17124932,273594,17398526
8300,24897,34440850,34465747,180192,25685830,25866022,17375873,277231,17653104
8400,25197,35275800,35300997,191058,31626749,31817807,17389468,280913,17670381
8500,25497,36120750,36146247,197268,24574335,24771603,18065935,284679,18350614
8600,25797,36975700,37001497,199914,34773849,34973763,18425743,288532,18714275
8700,26097,37840650,37866747,206673,37766345,37973018,18909615,292124,19201739
8800,26397,38715600,38741997,209895,32920290,33130185,19454996,296001,19750997
8900,26697,39600550,39627247,197787,28665724,28863511,19928237,299977,20228214
9000,26997,40495500,40522497,198747,28507644,28706391,20495039,303416,20798455
9100,27297,41400450,41427747,202257,30707450,30909707,20593478,307317,20900795
9200,27597,42315400,42342997,211539,42180979,42392518,21119107,311131,21430238
9300,27897,43240350,43268247,213636,39537069,39750705,21587180,314744,21901924
9400,28197,44175300,44203497,205548,26034024,26239572,22127256,318627,22445883
9500,28497,45120250,45148747,212010,28146199,28358209,22540144,322468,22862612
9600,28797,46075200,46103997,221208,34475864,34697072,23204001,326183,23530184
9700,29097,47040150,47069247,251766,45281400,45533166,23568209,329880,23898089
9800,29397,48015100,48044497,207969,43077447,43285416,24026529,333973,24360502
9900,29697,49000050,49029747,242664,40727772,40970436,24633344,337976,24971320
100,297,4950,5247,822,4454,5276,2462,1446,3908
200,597,19900,20497,2349,19197,21546,10726,3499,14225
300,897,44850,45747,3984,44714,48698,22177,5720,27897
400,1197,79800,80997,5934,78575,84509,39894,8163,48057
500,1497,124750,126247,6447,107359,113806,63086,10636,73722
600,1797,179700,181497,7509,129930,137439,92524,13166,105690
700,2097,244650,246747,11448,225147,236595,119233,15906,135139
800,2397,319600,321997,14307,316197,330504,163722,18628,182350
900,2697,404550,407247,13695,344519,358214,200668,21488,222156
1000,2997,499500,502497,16689,479400,496089,254159,24303,278462
1100,3297,604450,607747,17988,477190,495178,306944,27136,334080
1200,3597,719400,722997,16980,406164,423144,372568,30035,402603
1300,3897,844350,848247,21162,591234,612396,436847,32979,469826
1400,4197,979300,983497,25710,844879,870589,486912,36022,522934
1500,4497,1124250,1128747,26268,1091097,1117365,571497,39011,610508
1600,4797,1279200,1283997,30552,1257045,1287597,638994,42213,681207
1700,5097,1444150,1449247,31167,1255345,1286512,713629,45232,758861
1800,5397,1619100,1624497,35238,1207322,1242560,820775,48380,869155
1900,5697,1804050,1809747,39537,1688610,1728147,903169,51489,954658
2000,5997,1999000,2004997,37926,1979890,2017816,985730,54484,1040214
2100,6297,2203950,2210247,40644,2124947,2165591,1110438,57656,1168094
2200,6597,2418900,2425497,40008,2070705,2110713,1214249,60693,1274942
2300,6897,2643850,2650747,45855,2514055,2559910,1357751,64018,1421769
2400,7197,2878800,2885997,50814,2878475,2929289,1421111,67151,1488262
2500,7497,3123750,3131247,48135,3123155,3171290,1564440,70350,1634790
2600,7797,3378700,3386497,48921,2584270,2633191,1699017,73702,1772719
2700,8097,3643650,3651747,49086,3233685,3282771,1851539,77024,1928563
2800,8397,3918600,3926997,58326,3062514,3120840,1974640,80268,2054908
2900,8697,4203550,4212247,56532,3544024,3600556,2056392,83764,2140156
3000,8997,4498500,4507497,56934,3315009,3371943,2224450,87182,2311632
3100,9297,4803450,4812747,61584,4706870,4768454,2389866,90483,2480349
3200,9597,5118400,5127997,60285,4699330,4759615,2588026,93697,2681723
3300,9897,5443350,5453247,79368,4981109,5060477,2723641,97301,2820942
3400,10197,5778300,5788497,72621,5104920,5177541,2896070,100716,2996786
3500,10497,6123250,6133747,69321,5574622,5643943,3084790,104065,3188855
3600,10797,6478200,6488997,83451,6438860,6522311,3139064,107378,3246442
3700,11097,6843150,6854247,71634,6503250,6574884,3481948,110910,3592858
3800,11397,7218100,7229497,75843,5921245,5997088,3653797,114232,3768029
3900,11697,7603050,7614747,85755,7401755,7487510,3773804,117713,3891517
4000,11997,7998000,8009997,85833,7552904,7638737,4003399,121032,4124431
4100,12297,8402950,8415247,88452,7818129,7906581,4244296,124438,4368734
4200,12597,8817900,8830497,95958,8411549,8507507,4349165,127916,4477081
4300,12897,9242850,9255747,75819,4916639,4992458,4564735,131322,4696057
4400,13197,9677800,9690997,95229,6707097,6802326,4892797,134707,5027504
4500,13497,10122750,10136247,95652,9596925,9692577,5154942,138275,5293217
4600,13797,10577700,10591497,92595,7910805,8003400,5291994,141765,5433759
4700,14097,11042650,11056747,100986,8501265,8602251,5562629,145204,5707833
4800,14397,11517600,11531997,102066,8971704,9073770,5693111,148664,5841775
4900,14697,12002550,12017247,104058,9415875,9519933,6015191,152316,6167507
5000,14997,12497500,12512497,119877,11998999,12118876,6326343,155878,6482221
5100,15297,13002450,13017747,110550,12553572,12664122,6519952,159407,6679359
